district,segment_id,point_id,point_code,su_id,su_date,su_date_year,su_date_month,su_date_day,start_time,start_time_hour,start_time_minute,dist_point,dist_m,imp_type,imp_type_qualifier,imp_list,imp_list_qualifier,wp_gps,coord_obs,coord_obs_srs,coord_obs_x,coord_obs_y,point_obs,not_obs,not_obs_qualifier,point_loc,lc_cat1,lc_group1,lc_code1,lc_code1_qualifier,lc_pct1,lc_sea1,lc_sea1_qualifier,lc_cat2,lc_group2,lc_code2,lc_code2_qualifier,lc_pct2,lc_sea2,lc_sea2_qualifier,lc_cat3,lc_group3,lc_code3,lc_code3_qualifier,lc_pct3,lc_sea3,lc_sea3_qualifier,pct_check,harvest,harvest_qualifier,d_harv,irrig,lc_remark,photo,remarks,entry_loc,entry_loc_qualifier,end_time
42,621,1,42-621-1,D2,10/11/2016,2016,11,10,15:40,15,40,lt2m,0.15,,,,,358,SRID=EPSG:4326;POINT(84.285866 27.428461),EPSG:4326,84.28586591,27.42846051,1,,,2,B,B4,B401,,80,3,,C,C2,C202,,20,2,,,,,,,,,100,2,,15/02/2017,2,,5402_37.jpg,,1,,15:43
42,621,2,42-621-2,D2,10/11/2016,2016,11,10,15:50,15,50,lt2m,0.11,,,,,360,SRID=EPSG:4326;POINT(84.287241 27.428504),EPSG:4326,84.28724124,27.42850423,1,,,2,O,H,H01,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,River (flooded area),5442_37.jpg,River bank,1,,15:52
42,621,3,42-621-3,D1,10/11/2016,2016,11,10,15:35,15,35,lt2m,2,,,,,194,SRID=EPSG:4326;POINT(84.285782 27.427163),EPSG:4326,84.28578211,27.42716335,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,25/10/2016,1,,5159_37.jpg,,1,,15:37
42,621,4,42-621-4,D1,10/11/2016,2016,11,10,15:42,15,42,lt2m,1,,,,,195,SRID=EPSG:4326;POINT(84.287317 27.427199),EPSG:4326,84.28731738,27.42719899,1,,,2,O,H,H02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,River,5199_37.jpg,,1,,15:44
42,645,1,42-645-1,D2,10/11/2016,2016,11,10,14:15,14,15,lt2m,0.75,,,,,356,SRID=EPSG:4326;POINT(84.407042 27.430820),EPSG:4326,84.40704161,27.43081959,1,,,2,O,A,A11,,50,,,O,A,A21,,50,,,,,,,,,,100,,,null/null/null,,,5322_37.jpg,,1,,14:17
42,645,2,42-645-2,D2,10/11/2016,2016,11,10,14:25,14,25,lt2m,0.44,,,,,357,SRID=EPSG:4326;POINT(84.408515 27.430783),EPSG:4326,84.40851456,27.43078346,1,,,2,O,F,F02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,,5362_37.jpg,,1,,14:29
42,645,3,42-645-3,D1,10/11/2016,2016,11,10,14:09,14,9,lt2m,1,,,,,190,SRID=EPSG:4326;POINT(84.406947 27.429436),EPSG:4326,84.40694692,27.42943646,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,2,,15/11/2016,1,,5078_37.jpg,,1,,14:12
42,645,4,42-645-4,D1,10/11/2016,2016,11,10,14:17,14,17,lt2m,1,,,,,191,SRID=EPSG:4326;POINT(84.408513 27.429448),EPSG:4326,84.40851276,27.42944815,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,2,,15/11/2016,1,,5118_37.jpg,,1,,14:19
42,711,1,42-711-1,D2,10/11/2016,2016,11,10,13:30,13,30,gt2m,380,1,,11,,351,SRID=EPSG:4326;POINT(84.437694 27.432529),EPSG:4326,84.43769446,27.43252932,2,9,national park,,,,,,,,,,,,,,,,,,,,,,,0,,,null/null/null,,,5242_37.jpg,River blocked,1,,13:36
42,711,2,42-711-2,D2,10/11/2016,2016,11,10,13:37,13,37,gt2m,375,1,,14,,352,SRID=EPSG:4326;POINT(84.437689 27.432678),EPSG:4326,84.43768928,27.43267845,2,9,national park,,,,,,,,,,,,,,,,,,,,,,,0,,,null/null/null,,,5282_37.jpg,,1,,13:39
42,711,3,42-711-3,D1,10/11/2016,2016,11,10,13:29,13,29,gt2m,242,1,,14,,188,SRID=EPSG:4326;POINT(84.437770 27.432371),EPSG:4326,84.43776981,27.43237146,1,,,2,O,H,H02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,,4998_37.jpg,,1,,13:34
42,711,4,42-711-4,D1,10/11/2016,2016,11,10,13:36,13,36,gt2m,265,1,,15,,189,SRID=EPSG:4326;POINT(84.437704 27.432353),EPSG:4326,84.43770428,27.43235336,1,,,2,O,H,H02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,River,5038_37.jpg,,1,,13:37
